episode,reward,moving_average_100
237,-200.0,-200.0
238,-200.0,-200.0
239,-200.0,-200.0
240,-200.0,-200.0
241,-200.0,-200.0
242,-200.0,-200.0
243,-200.0,-200.0
244,-200.0,-200.0
245,-200.0,-200.0
246,-200.0,-200.0
247,-200.0,-200.0
248,-200.0,-200.0
249,-200.0,-200.0
250,-200.0,-200.0
251,-200.0,-200.0
252,-200.0,-200.0
253,-200.0,-200.0
254,-200.0,-200.0
255,-200.0,-200.0
256,-200.0,-200.0
257,-200.0,-200.0
258,-200.0,-200.0
259,-200.0,-200.0
260,-200.0,-200.0
261,-200.0,-200.0
262,-200.0,-200.0
263,-200.0,-200.0
264,-200.0,-200.0
265,-200.0,-200.0
266,-200.0,-200.0
267,-200.0,-200.0
268,-200.0,-200.0
269,-200.0,-200.0
270,-200.0,-200.0
271,-200.0,-200.0
272,-200.0,-200.0
273,-200.0,-200.0
274,-200.0,-200.0
275,-200.0,-200.0
276,-200.0,-200.0
277,-200.0,-200.0
278,-200.0,-200.0
279,-200.0,-200.0
280,-200.0,-200.0
281,-200.0,-200.0
282,-200.0,-200.0
283,-200.0,-200.0
284,-200.0,-200.0
285,-200.0,-200.0
286,-200.0,-200.0
287,-200.0,-200.0
288,-200.0,-200.0
289,-200.0,-200.0
290,-200.0,-200.0
291,-200.0,-200.0
292,-200.0,-200.0
293,-200.0,-200.0
294,-200.0,-200.0
295,-200.0,-200.0
296,-200.0,-200.0
297,-200.0,-200.0
298,-200.0,-200.0
299,-200.0,-200.0
300,-200.0,-200.0
301,-200.0,-200.0
302,-200.0,-200.0
303,-200.0,-200.0
304,-200.0,-200.0
305,-200.0,-200.0
306,-200.0,-200.0
307,-200.0,-200.0
308,-200.0,-200.0
309,-200.0,-200.0
310,-200.0,-200.0
311,-200.0,-200.0
312,-200.0,-200.0
313,-200.0,-200.0
314,-200.0,-200.0
315,-200.0,-200.0
316,-200.0,-200.0
317,-200.0,-200.0
318,-200.0,-200.0
319,-200.0,-200.0
320,-200.0,-200.0
321,-200.0,-200.0
322,-200.0,-200.0
323,-200.0,-200.0
324,-200.0,-200.0
325,-200.0,-200.0
326,-200.0,-200.0
327,-200.0,-200.0
328,-200.0,-200.0
329,-200.0,-200.0
330,-200.0,-200.0
331,-200.0,-200.0
332,-200.0,-200.0
333,-200.0,-200.0
334,-200.0,-200.0
335,-200.0,-200.0
336,-200.0,-200.0
337,-200.0,-200.0
338,-200.0,-200.0
339,-200.0,-200.0
340,-200.0,-200.0
341,-200.0,-200.0
342,-200.0,-200.0
343,-200.0,-200.0
344,-200.0,-200.0
345,-200.0,-200.0
346,-200.0,-200.0
347,-200.0,-200.0
348,-200.0,-200.0
349,-200.0,-200.0
350,-200.0,-200.0
351,-200.0,-200.0
352,-200.0,-200.0
353,-200.0,-200.0
354,-200.0,-200.0
355,-200.0,-200.0
356,-200.0,-200.0
357,-200.0,-200.0
358,-200.0,-200.0
359,-200.0,-200.0
360,-200.0,-200.0
361,-200.0,-200.0
362,-200.0,-200.0
363,-200.0,-200.0
364,-200.0,-200.0
365,-200.0,-200.0
366,-200.0,-200.0
367,-200.0,-200.0
368,-200.0,-200.0
369,-200.0,-200.0
370,-200.0,-200.0
371,-200.0,-200.0
372,-200.0,-200.0
373,-200.0,-200.0
374,-200.0,-200.0
375,-200.0,-200.0
376,-200.0,-200.0
377,-200.0,-200.0
378,-200.0,-200.0
379,-200.0,-200.0
380,-200.0,-200.0
381,-200.0,-200.0
382,-200.0,-200.0
383,-200.0,-200.0
384,-200.0,-200.0
385,-200.0,-200.0
386,-200.0,-200.0
387,-200.0,-200.0
388,-200.0,-200.0
389,-200.0,-200.0
390,-200.0,-200.0
391,-200.0,-200.0
392,-200.0,-200.0
393,-200.0,-200.0
394,-200.0,-200.0
395,-200.0,-200.0
396,-200.0,-200.0
397,-200.0,-200.0
398,-200.0,-200.0
399,-200.0,-200.0
400,-200.0,-200.0
401,-200.0,-200.0
402,-200.0,-200.0
403,-200.0,-200.0
404,-200.0,-200.0
405,-200.0,-200.0
406,-200.0,-200.0
407,-200.0,-200.0
408,-200.0,-200.0
409,-200.0,-200.0
410,-200.0,-200.0
411,-200.0,-200.0
412,-200.0,-200.0
413,-200.0,-200.0
414,-200.0,-200.0
415,-200.0,-200.0
416,-200.0,-200.0
417,-200.0,-200.0
418,-200.0,-200.0
419,-200.0,-200.0
420,-200.0,-200.0
421,-200.0,-200.0
422,-200.0,-200.0
423,-200.0,-200.0
424,-200.0,-200.0
425,-200.0,-200.0
426,-200.0,-200.0
427,-200.0,-200.0
428,-200.0,-200.0
429,-200.0,-200.0
430,-200.0,-200.0
431,-200.0,-200.0
432,-200.0,-200.0
433,-200.0,-200.0
434,-200.0,-200.0
435,-200.0,-200.0
436,-200.0,-200.0
437,-200.0,-200.0
438,-200.0,-200.0
439,-200.0,-200.0
440,-200.0,-200.0
441,-200.0,-200.0
442,-200.0,-200.0
443,-200.0,-200.0
444,-200.0,-200.0
445,-200.0,-200.0
446,-200.0,-200.0
447,-200.0,-200.0
448,-200.0,-200.0
449,-200.0,-200.0
450,-200.0,-200.0
451,-200.0,-200.0
452,-200.0,-200.0
453,-200.0,-200.0
454,-200.0,-200.0
455,-200.0,-200.0
456,-200.0,-200.0
457,-200.0,-200.0
458,-200.0,-200.0
459,-200.0,-200.0
460,-200.0,-200.0
461,-200.0,-200.0
462,-200.0,-200.0
463,-200.0,-200.0
464,-200.0,-200.0
465,-200.0,-200.0
466,-200.0,-200.0
467,-200.0,-200.0
468,-200.0,-200.0
469,-200.0,-200.0
470,-200.0,-200.0
471,-200.0,-200.0
472,-200.0,-200.0
473,-200.0,-200.0
474,-200.0,-200.0
475,-200.0,-200.0
476,-200.0,-200.0
477,-200.0,-200.0
478,-200.0,-200.0
479,-200.0,-200.0
480,-200.0,-200.0
481,-200.0,-200.0
482,-200.0,-200.0
483,-200.0,-200.0
484,-200.0,-200.0
485,-200.0,-200.0
486,-200.0,-200.0
487,-200.0,-200.0
488,-200.0,-200.0
489,-200.0,-200.0
490,-200.0,-200.0
491,-200.0,-200.0
492,-200.0,-200.0
493,-200.0,-200.0
494,-200.0,-200.0
495,-200.0,-200.0
496,-200.0,-200.0
497,-200.0,-200.0
498,-200.0,-200.0
499,-200.0,-200.0
500,-200.0,-200.0
501,-200.0,-200.0
502,-200.0,-200.0
503,-200.0,-200.0
504,-200.0,-200.0
505,-200.0,-200.0
506,-200.0,-200.0
507,-200.0,-200.0
508,-200.0,-200.0
509,-200.0,-200.0
510,-200.0,-200.0
511,-200.0,-200.0
512,-200.0,-200.0
513,-200.0,-200.0
514,-200.0,-200.0
515,-200.0,-200.0
516,-200.0,-200.0
517,-200.0,-200.0
518,-200.0,-200.0
519,-200.0,-200.0
520,-200.0,-200.0
521,-200.0,-200.0
522,-200.0,-200.0
523,-200.0,-200.0
524,-200.0,-200.0
525,-200.0,-200.0
526,-200.0,-200.0
527,-200.0,-200.0
528,-200.0,-200.0
529,-200.0,-200.0
530,-200.0,-200.0
531,-200.0,-200.0
532,-200.0,-200.0
533,-200.0,-200.0
534,-200.0,-200.0
535,-200.0,-200.0
536,-200.0,-200.0
537,-200.0,-200.0
538,-200.0,-200.0
539,-200.0,-200.0
540,-200.0,-200.0
541,-200.0,-200.0
542,-200.0,-200.0
543,-200.0,-200.0
544,-200.0,-200.0
545,-200.0,-200.0
546,-200.0,-200.0
547,-200.0,-200.0
548,-200.0,-200.0
549,-200.0,-200.0
550,-200.0,-200.0
551,-200.0,-200.0
552,-200.0,-200.0
553,-200.0,-200.0
554,-200.0,-200.0
555,-200.0,-200.0
556,-200.0,-200.0
557,-200.0,-200.0
558,-200.0,-200.0
559,-200.0,-200.0
560,-200.0,-200.0
561,-200.0,-200.0
562,-200.0,-200.0
563,-200.0,-200.0
564,-200.0,-200.0
565,-200.0,-200.0
566,-200.0,-200.0
567,-200.0,-200.0
568,-200.0,-200.0
569,-200.0,-200.0
570,-200.0,-200.0
571,-200.0,-200.0
572,-200.0,-200.0
573,-200.0,-200.0
574,-200.0,-200.0
575,-200.0,-200.0
576,-200.0,-200.0
577,-200.0,-200.0
578,-200.0,-200.0
579,-200.0,-200.0
580,-200.0,-200.0
581,-200.0,-200.0
582,-200.0,-200.0
583,-200.0,-200.0
584,-200.0,-200.0
585,-200.0,-200.0
586,-200.0,-200.0
587,-200.0,-200.0
588,-200.0,-200.0
589,-200.0,-200.0
590,-200.0,-200.0
591,-200.0,-200.0
592,-200.0,-200.0
593,-200.0,-200.0
594,-200.0,-200.0
595,-200.0,-200.0
596,-200.0,-200.0
597,-200.0,-200.0
598,-200.0,-200.0
599,-200.0,-200.0
600,-200.0,-200.0
601,-200.0,-200.0
602,-200.0,-200.0
603,-200.0,-200.0
604,-200.0,-200.0
605,-200.0,-200.0
606,-200.0,-200.0
607,-200.0,-200.0
608,-200.0,-200.0
609,-200.0,-200.0
610,-200.0,-200.0
611,-200.0,-200.0
612,-200.0,-200.0
613,-200.0,-200.0
614,-200.0,-200.0
615,-200.0,-200.0
616,-200.0,-200.0
617,-200.0,-200.0
618,-200.0,-200.0
619,-200.0,-200.0
620,-200.0,-200.0
621,-200.0,-200.0
622,-200.0,-200.0
623,-200.0,-200.0
624,-200.0,-200.0
625,-200.0,-200.0
626,-200.0,-200.0
627,-200.0,-200.0
628,-200.0,-200.0
629,-200.0,-200.0
630,-200.0,-200.0
631,-200.0,-200.0
632,-200.0,-200.0
633,-200.0,-200.0
634,-200.0,-200.0
635,-200.0,-200.0
636,-200.0,-200.0
637,-200.0,-200.0
638,-200.0,-200.0
639,-200.0,-200.0
640,-200.0,-200.0
641,-200.0,-200.0
642,-200.0,-200.0
643,-200.0,-200.0
644,-200.0,-200.0
645,-200.0,-200.0
646,-200.0,-200.0
647,-200.0,-200.0
648,-200.0,-200.0
649,-200.0,-200.0
650,-200.0,-200.0
651,-200.0,-200.0
652,-200.0,-200.0
653,-200.0,-200.0
654,-200.0,-200.0
655,-200.0,-200.0
656,-200.0,-200.0
657,-200.0,-200.0
658,-200.0,-200.0
659,-200.0,-200.0
660,-200.0,-200.0
661,-200.0,-200.0
662,-200.0,-200.0
663,-200.0,-200.0
664,-200.0,-200.0
665,-200.0,-200.0
666,-200.0,-200.0
667,-200.0,-200.0
668,-200.0,-200.0
669,-200.0,-200.0
670,-200.0,-200.0
671,-200.0,-200.0
672,-200.0,-200.0
673,-200.0,-200.0
674,-200.0,-200.0
675,-200.0,-200.0
676,-200.0,-200.0
677,-200.0,-200.0
678,-200.0,-200.0
679,-200.0,-200.0
680,-200.0,-200.0
681,-200.0,-200.0
682,-200.0,-200.0
683,-200.0,-200.0
684,-200.0,-200.0
685,-200.0,-200.0
686,-200.0,-200.0
687,-200.0,-200.0
688,-200.0,-200.0
689,-200.0,-200.0
690,-200.0,-200.0
691,-200.0,-200.0
692,-200.0,-200.0
693,-200.0,-200.0
694,-200.0,-200.0
695,-200.0,-200.0
696,-200.0,-200.0
697,-200.0,-200.0
698,-200.0,-200.0
699,-200.0,-200.0
700,-200.0,-200.0
701,-200.0,-200.0
702,-200.0,-200.0
703,-200.0,-200.0
704,-200.0,-200.0
705,-200.0,-200.0
706,-200.0,-200.0
707,-200.0,-200.0
708,-200.0,-200.0
709,-200.0,-200.0
710,-200.0,-200.0
711,-200.0,-200.0
712,-200.0,-200.0
713,-200.0,-200.0
714,-200.0,-200.0
715,-200.0,-200.0
716,-200.0,-200.0
717,-200.0,-200.0
718,-200.0,-200.0
719,-200.0,-200.0
720,-200.0,-200.0
721,-200.0,-200.0
722,-200.0,-200.0
723,-200.0,-200.0
724,-200.0,-200.0
725,-200.0,-200.0
726,-200.0,-200.0
727,-200.0,-200.0
728,-200.0,-200.0
729,-200.0,-200.0
730,-200.0,-200.0
731,-200.0,-200.0
732,-200.0,-200.0
733,-200.0,-200.0
734,-200.0,-200.0
735,-200.0,-200.0
736,-200.0,-200.0
737,-200.0,-200.0
738,-200.0,-200.0
739,-200.0,-200.0
740,-200.0,-200.0
741,-200.0,-200.0
742,-200.0,-200.0
743,-200.0,-200.0
744,-200.0,-200.0
745,-200.0,-200.0
746,-200.0,-200.0
747,-200.0,-200.0
748,-200.0,-200.0
749,-200.0,-200.0
750,-200.0,-200.0
751,-200.0,-200.0
752,-200.0,-200.0
753,-200.0,-200.0
754,-200.0,-200.0
755,-200.0,-200.0
756,-200.0,-200.0
757,-200.0,-200.0
758,-200.0,-200.0
759,-200.0,-200.0
760,-200.0,-200.0
761,-200.0,-200.0
762,-200.0,-200.0
763,-200.0,-200.0
764,-200.0,-200.0
765,-200.0,-200.0
766,-200.0,-200.0
767,-200.0,-200.0
768,-200.0,-200.0
769,-200.0,-200.0
770,-200.0,-200.0
771,-200.0,-200.0
772,-200.0,-200.0
773,-200.0,-200.0
774,-200.0,-200.0
775,-200.0,-200.0
776,-200.0,-200.0
777,-200.0,-200.0
778,-200.0,-200.0
779,-200.0,-200.0
780,-200.0,-200.0
781,-200.0,-200.0
782,-200.0,-200.0
783,-200.0,-200.0
784,-200.0,-200.0
785,-200.0,-200.0
786,-200.0,-200.0
787,-200.0,-200.0
788,-200.0,-200.0
789,-200.0,-200.0
790,-200.0,-200.0
791,-200.0,-200.0
792,-200.0,-200.0
793,-200.0,-200.0
794,-200.0,-200.0
795,-200.0,-200.0
796,-200.0,-200.0
797,-200.0,-200.0
798,-200.0,-200.0
799,-200.0,-200.0
800,-200.0,-200.0
801,-200.0,-200.0
802,-200.0,-200.0
803,-200.0,-200.0
804,-200.0,-200.0
805,-200.0,-200.0
806,-200.0,-200.0
807,-200.0,-200.0
808,-200.0,-200.0
809,-200.0,-200.0
810,-200.0,-200.0
811,-200.0,-200.0
812,-200.0,-200.0
813,-200.0,-200.0
814,-200.0,-200.0
815,-200.0,-200.0
816,-200.0,-200.0
817,-200.0,-200.0
818,-200.0,-200.0
819,-200.0,-200.0
820,-200.0,-200.0
821,-200.0,-200.0
822,-200.0,-200.0
823,-200.0,-200.0
824,-200.0,-200.0
825,-200.0,-200.0
826,-200.0,-200.0
827,-200.0,-200.0
828,-200.0,-200.0
829,-200.0,-200.0
830,-200.0,-200.0
831,-200.0,-200.0
832,-200.0,-200.0
833,-200.0,-200.0
834,-200.0,-200.0
835,-200.0,-200.0
836,-200.0,-200.0
837,-200.0,-200.0
838,-200.0,-200.0
839,-200.0,-200.0
840,-200.0,-200.0
841,-200.0,-200.0
842,-200.0,-200.0
843,-200.0,-200.0
844,-200.0,-200.0
845,-200.0,-200.0
846,-200.0,-200.0
847,-200.0,-200.0
848,-200.0,-200.0
849,-200.0,-200.0
850,-200.0,-200.0
851,-200.0,-200.0
852,-200.0,-200.0
853,-200.0,-200.0
854,-200.0,-200.0
855,-200.0,-200.0
856,-200.0,-200.0
857,-200.0,-200.0
858,-200.0,-200.0
859,-200.0,-200.0
860,-200.0,-200.0
861,-200.0,-200.0
862,-200.0,-200.0
863,-200.0,-200.0
864,-200.0,-200.0
865,-200.0,-200.0
866,-200.0,-200.0
867,-200.0,-200.0
868,-200.0,-200.0
869,-200.0,-200.0
870,-200.0,-200.0
871,-200.0,-200.0
872,-200.0,-200.0
873,-200.0,-200.0
874,-200.0,-200.0
875,-200.0,-200.0
876,-200.0,-200.0
877,-200.0,-200.0
878,-200.0,-200.0
879,-200.0,-200.0
880,-200.0,-200.0
881,-200.0,-200.0
882,-200.0,-200.0
883,-200.0,-200.0
884,-200.0,-200.0
885,-200.0,-200.0
886,-200.0,-200.0
887,-200.0,-200.0
888,-200.0,-200.0
889,-200.0,-200.0
890,-200.0,-200.0
891,-200.0,-200.0
892,-200.0,-200.0
893,-200.0,-200.0
894,-200.0,-200.0
895,-200.0,-200.0
896,-200.0,-200.0
897,-200.0,-200.0
898,-200.0,-200.0
899,-200.0,-200.0
900,-200.0,-200.0
901,-200.0,-200.0
902,-200.0,-200.0
903,-200.0,-200.0
904,-200.0,-200.0
905,-200.0,-200.0
906,-200.0,-200.0
907,-200.0,-200.0
908,-200.0,-200.0
909,-200.0,-200.0
910,-200.0,-200.0
911,-200.0,-200.0
912,-200.0,-200.0
913,-200.0,-200.0
914,-200.0,-200.0
915,-200.0,-200.0
916,-200.0,-200.0
917,-200.0,-200.0
918,-200.0,-200.0
919,-200.0,-200.0
920,-200.0,-200.0
921,-200.0,-200.0
922,-200.0,-200.0
923,-200.0,-200.0
924,-200.0,-200.0
925,-200.0,-200.0
926,-200.0,-200.0
927,-200.0,-200.0
928,-200.0,-200.0
929,-200.0,-200.0
930,-200.0,-200.0
931,-200.0,-200.0
932,-200.0,-200.0
933,-200.0,-200.0
934,-200.0,-200.0
935,-200.0,-200.0
936,-200.0,-200.0
937,-200.0,-200.0
938,-200.0,-200.0
939,-200.0,-200.0
940,-200.0,-200.0
941,-200.0,-200.0
942,-200.0,-200.0
943,-200.0,-200.0
944,-200.0,-200.0
945,-200.0,-200.0
946,-200.0,-200.0
947,-200.0,-200.0
948,-200.0,-200.0
949,-200.0,-200.0
950,-200.0,-200.0
951,-200.0,-200.0
952,-200.0,-200.0
953,-200.0,-200.0
954,-200.0,-200.0
955,-200.0,-200.0
956,-200.0,-200.0
957,-200.0,-200.0
958,-200.0,-200.0
959,-200.0,-200.0
960,-200.0,-200.0
961,-200.0,-200.0
962,-200.0,-200.0
963,-200.0,-200.0
964,-200.0,-200.0
965,-200.0,-200.0
966,-200.0,-200.0
967,-200.0,-200.0
968,-200.0,-200.0
969,-200.0,-200.0
970,-200.0,-200.0
971,-200.0,-200.0
972,-200.0,-200.0
973,-200.0,-200.0
974,-200.0,-200.0
975,-200.0,-200.0
976,-200.0,-200.0
977,-200.0,-200.0
978,-200.0,-200.0
979,-200.0,-200.0
980,-200.0,-200.0
981,-200.0,-200.0
982,-200.0,-200.0
983,-200.0,-200.0
984,-200.0,-200.0
985,-200.0,-200.0
986,-200.0,-200.0
987,-200.0,-200.0
988,-200.0,-200.0
989,-200.0,-200.0
990,-200.0,-200.0
991,-200.0,-200.0
992,-200.0,-200.0
993,-200.0,-200.0
994,-200.0,-200.0
995,-200.0,-200.0
996,-200.0,-200.0
997,-200.0,-200.0
998,-200.0,-200.0
999,-200.0,-200.0
1000,-200.0,-200.0
1001,-200.0,-200.0
1002,-200.0,-200.0
1003,-200.0,-200.0
1004,-200.0,-200.0
1005,-200.0,-200.0
1006,-200.0,-200.0
1007,-200.0,-200.0
1008,-200.0,-200.0
1009,-200.0,-200.0
1010,-200.0,-200.0
1011,-200.0,-200.0
1012,-200.0,-200.0
1013,-200.0,-200.0
1014,-200.0,-200.0
1015,-200.0,-200.0
1016,-200.0,-200.0
1017,-200.0,-200.0
1018,-200.0,-200.0
1019,-200.0,-200.0
1020,-200.0,-200.0
1021,-200.0,-200.0
1022,-200.0,-200.0
1023,-200.0,-200.0
1024,-200.0,-200.0
1025,-200.0,-200.0
1026,-200.0,-200.0
1027,-200.0,-200.0
1028,-200.0,-200.0
1029,-200.0,-200.0
1030,-200.0,-200.0
1031,-200.0,-200.0
1032,-200.0,-200.0
1033,-200.0,-200.0
1034,-200.0,-200.0
1035,-200.0,-200.0
1036,-200.0,-200.0
1037,-200.0,-200.0
1038,-200.0,-200.0
1039,-200.0,-200.0
1040,-200.0,-200.0
1041,-200.0,-200.0
1042,-200.0,-200.0
1043,-200.0,-200.0
1044,-200.0,-200.0
1045,-200.0,-200.0
1046,-200.0,-200.0
1047,-200.0,-200.0
1048,-200.0,-200.0
1049,-200.0,-200.0
1050,-200.0,-200.0
1051,-200.0,-200.0
1052,-200.0,-200.0
1053,-200.0,-200.0
1054,-200.0,-200.0
1055,-200.0,-200.0
1056,-200.0,-200.0
1057,-200.0,-200.0
1058,-200.0,-200.0
1059,-200.0,-200.0
1060,-200.0,-200.0
1061,-200.0,-200.0
1062,-200.0,-200.0
1063,-200.0,-200.0
1064,-200.0,-200.0
1065,-200.0,-200.0
1066,-200.0,-200.0
1067,-200.0,-200.0
1068,-200.0,-200.0
1069,-200.0,-200.0
1070,-200.0,-200.0
1071,-200.0,-200.0
1072,-200.0,-200.0
1073,-200.0,-200.0
1074,-200.0,-200.0
1075,-200.0,-200.0
1076,-200.0,-200.0
1077,-200.0,-200.0
1078,-200.0,-200.0
1079,-200.0,-200.0
1080,-200.0,-200.0
1081,-200.0,-200.0
1082,-200.0,-200.0
1083,-200.0,-200.0
1084,-200.0,-200.0
1085,-200.0,-200.0
1086,-200.0,-200.0
1087,-200.0,-200.0
1088,-200.0,-200.0
1089,-200.0,-200.0
1090,-200.0,-200.0
1091,-200.0,-200.0
1092,-200.0,-200.0
1093,-200.0,-200.0
1094,-200.0,-200.0
1095,-200.0,-200.0
1096,-200.0,-200.0
1097,-200.0,-200.0
1098,-200.0,-200.0
1099,-200.0,-200.0
1100,-200.0,-200.0
1101,-200.0,-200.0
1102,-200.0,-200.0
1103,-200.0,-200.0
1104,-200.0,-200.0
1105,-200.0,-200.0
1106,-200.0,-200.0
1107,-200.0,-200.0
1108,-200.0,-200.0
1109,-200.0,-200.0
1110,-200.0,-200.0
1111,-200.0,-200.0
1112,-200.0,-200.0
1113,-200.0,-200.0
1114,-200.0,-200.0
1115,-200.0,-200.0
1116,-200.0,-200.0
1117,-200.0,-200.0
1118,-200.0,-200.0
1119,-200.0,-200.0
1120,-200.0,-200.0
1121,-200.0,-200.0
1122,-200.0,-200.0
1123,-200.0,-200.0
1124,-200.0,-200.0
1125,-200.0,-200.0
1126,-200.0,-200.0
1127,-200.0,-200.0
1128,-200.0,-200.0
1129,-200.0,-200.0
1130,-200.0,-200.0
1131,-200.0,-200.0
1132,-200.0,-200.0
1133,-200.0,-200.0
1134,-200.0,-200.0
1135,-200.0,-200.0
1136,-200.0,-200.0
1137,-200.0,-200.0
1138,-200.0,-200.0
1139,-200.0,-200.0
1140,-200.0,-200.0
1141,-200.0,-200.0
1142,-200.0,-200.0
1143,-200.0,-200.0
1144,-200.0,-200.0
1145,-200.0,-200.0
1146,-200.0,-200.0
1147,-200.0,-200.0
1148,-200.0,-200.0
1149,-200.0,-200.0
1150,-200.0,-200.0
1151,-200.0,-200.0
